name,country,latitude,longitude,timezone,population
les Escaldes,AD,42.50729,1.53414,Europe/Andorra,15853
Andorra la Vella,AD,42.50779,1.52109,Europe/Andorra,20430
Warīsān,ОАЭ,25.16744,55.40708,Asia/Dubai,108759
Umm Suqaym,ОАЭ,25.15491,55.21015,Asia/Dubai,16459
Umm Al Quwain City,ОАЭ,25.56473,55.55517,Asia/Dubai,59098
Ţarīf Kalbā,ОАЭ,25.0695,56.33115,Asia/Dubai,51000
Ar Rāshidīyah,ОАЭ,25.22499,55.38947,Asia/Dubai,38425
Ras Al Khaimah City,ОАЭ,25.78953,55.9432,Asia/Dubai,351943
Zayed City,ОАЭ,23.65416,53.70522,Asia/Dubai,63482
Khawr Fakkān,ОАЭ,25.33132,56.34199,Asia/Dubai,40677
Kalbā,ОАЭ,25.0513,56.35422,Asia/Dubai,37545
Jumayrā,ОАЭ,25.20795,55.24969,Asia/Dubai,39080
Dubai,ОАЭ,25.07725,55.30927,Asia/Dubai,3790000
Dibba Al-Fujairah,ОАЭ,25.59246,56.26176,Asia/Dubai,30000
Dibba Al-Hisn,ОАЭ,25.61955,56.27291,Asia/Dubai,26395
Dayrah,ОАЭ,25.27143,55.30207,Asia/Dubai,400000
Sharjah,ОАЭ,25.3342,55.41221,Asia/Dubai,1800000
Ar Ruways,ОАЭ,24.11028,52.73056,Asia/Dubai,25000
Ḩattā,ОАЭ,24.80073,56.12726,Asia/Dubai,15324
Al Fujairah City,ОАЭ,25.11641,56.34141,Asia/Dubai,118933
Al Ain City,ОАЭ,24.19167,55.76056,Asia/Dubai,846747
Ajman City,ОАЭ,25.40177,55.47878,Asia/Dubai,490035
Adh Dhayd,ОАЭ,25.28812,55.88157,Asia/Dubai,20165
Abu Dhabi,ОАЭ,24.45118,54.39696,Asia/Dubai,1807000
Abū Hayl,ОАЭ,25.28413,55.33153,Asia/Dubai,18043
As Saţwah,ОАЭ,25.22192,55.27459,Asia/Dubai,40997
